,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8,KM9_1,KM9_2,KM9_3,KM9_4,KM9_5,KM9_6,KM9_7,KM9_8,KM9_9
Monthly_cash_advance,88.97798367984223,38.44924462386405,67.82198526639985,133.05302926499962,38.44924462386405,182.8581694980239,78.99596562143475,67.74871700719957,168.55837721998864,32.84953507904805,202.777550049973,61.746754327295065,72.7332212553679,196.00861676673964,168.78753934754732,72.7332212553679,44.153590700755316,61.81487209164539,28.32683931537744,193.1585849958804,30.010247714659904,49.73953844673081,151.0118639494216,65.94372356435004,0.0,603.3259418010847,41.390655040095766,29.439160182346097,144.35063364379238,65.7944757253592,0.0,53.02347055218434,60.110845832212256,968.6352234756984,35.18151756290247,22.661308410215888,143.096422228168,62.764774240477664,0.0,53.8716658027197,79.06645009186747,326.3043525493066,200.96198949614825
limit_uses,0.38888363881802107,0.27203916298345593,0.35354849591233806,0.48118720308925805,0.27203916298345593,0.5737708069286339,0.3810738042921818,0.3531666833186205,0.5860086746527374,0.2750142800005938,0.3712230216682273,0.3509368896002012,0.37964201243364293,0.3598012102260574,0.5778943798638846,0.37964201243364293,0.27851587601563016,0.35098634992773736,0.2911658248641735,0.36195767564594966,0.2764385277394538,0.349222012387143,0.5918981781990278,0.37942334661794885,0.00011730499444444443,0.4109901944615903,0.28074280504803084,0.267518427011668,0.576936693405757,0.3922202067264317,0.00011730499444444443,0.3681203473006787,0.4324517217512697,0.5377568991150656,0.26036184628941017,0.25609801840784585,0.5686171823177866,0.37754708967763034,0.00011730499444444443,0.3467078951685349,0.39879621959823264,0.7396197623610651,0.36794357669283984
payment_minimum_pay,9.059164107684857,5.782292748902284,7.236982160105769,12.236156039135905,5.782292748902284,10.087451055377967,5.571081555262275,13.32016641694768,8.71768891717723,14.07025503554213,10.06696226480504,7.3582066106842,5.677052771378377,10.229685870951851,8.711368020084034,5.677052771378377,4.970456738468445,13.664833367781922,6.669953739737279,12.30233664228586,5.716227360495029,6.937605118348463,5.706425236853023,5.4268252650734,5638.237875910101,42.69971468006251,8.862610353194466,5.774744395643407,9.55637260730242,5.0788988539398545,5638.237875910101,5.778026617072766,13.870340285782374,13.546309086152514,9.380696062847365,6.09299205691761,9.433048047774165,5.420923520521388,5638.237875910101,6.176018272340132,16.64449793256408,1.4610040835249145,10.284882233867926
None,0.22815642458100557,0.0,0.0,0.521051288594029,0.0,1.0,0.0,0.0,1.0,0.0,0.3095623987034036,0.0,0.0,0.31198686371100165,1.0,0.0,0.0011160714285714285,0.0,0.0,0.3167495854063018,0.0,0.0,1.0,0.0,0.0,0.3063583815028902,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.334,0.3181076672104405
both_oneoff_installment,0.3099441340782123,0.0,1.0,0.0,0.0,0.0,0.0,0.9989196975153043,0.0,0.0,0.17341977309562398,1.0,0.0,0.1724137931034483,0.0,0.0,0.0011160714285714285,0.9988768251591165,0.0,0.16417910447761194,0.0,1.0,0.0,0.0,0.0,0.4797687861271676,0.6793893129770993,0.0,0.0,0.0,0.0,1.0,0.9192825112107623,0.20588235294117646,0.6694021101992966,0.0,0.0,0.0,0.0,1.0,0.9096385542168675,0.356,0.1631321370309951
installment,0.25251396648044694,1.0,0.0,0.0007655014034192396,1.0,0.0,0.0,0.0010803024846957148,0.0,1.0,0.293354943273906,0.0,0.0,0.2889983579638752,0.0,0.0,0.9977678571428571,0.0011231748408835642,1.0,0.2902155887230514,1.0,0.0,0.0,0.0,1.0,0.08670520231213873,0.0,1.0,0.0,0.0,1.0,0.0,0.04484304932735426,0.10294117647058823,0.0,1.0,0.0,0.0,1.0,0.0,0.03614457831325301,0.148,0.29526916802610115
one_off,0.2093854748603352,0.0,0.0,0.47818321000255165,0.0,0.0,1.0,0.0,0.0,0.0,0.22366288492706646,0.0,1.0,0.22660098522167488,0.0,1.0,0.0,0.0,0.0,0.22885572139303484,0.0,0.0,0.0,1.0,0.0,0.12716763005780346,0.32061068702290074,0.0,0.0,1.0,0.0,0.0,0.03587443946188341,0.19117647058823528,0.3305978898007034,0.0,0.0,1.0,0.0,0.0,0.05421686746987952,0.162,0.2234910277324633
cluster_3,1.1856983240223464,0.0,1.0,2.0,0.0,2.0,2.0,1.0010803024846957,2.0,0.002886002886002886,1.239870340356564,1.0,2.0,1.2495894909688012,2.0,2.0,0.0033482142857142855,1.0011231748408835,0.0,1.2553897180762852,0.0,1.0,2.0,2.0,2.0,1.346820809248555,1.3206106870229009,0.0,2.0,2.0,2.0,1.0,0.9910313901345291,1.588235294117647,1.3305978898007034,0.0,2.0,2.0,2.0,1.0,1.0180722891566265,1.348,1.2463295269168027
cluster_4,1.5777653631284916,0.0,3.0,1.47971421280939,0.0,1.0,2.0,3.0,1.0,0.004329004329004329,1.2771474878444085,3.0,2.0,1.2824302134646963,1.0,2.0,0.004464285714285714,3.0,0.0,1.2669983416252073,0.0,3.0,1.0,2.0,3.0,2.0,2.6793893129770994,0.0,1.0,2.0,3.0,3.0,2.8295964125560538,1.5,2.6694021101992966,0.0,1.0,2.0,3.0,3.0,2.8373493975903616,1.726,1.2544861337683524
cluster_5,2.04,1.080194949047408,2.9614275414563807,1.9405460576677724,1.080194949047408,0.18707149853085211,3.8527214514407686,2.959308606409795,0.0,1.0,2.0,3.0,4.0,1.9852216748768472,0.0010804970286331713,4.0,1.0078125,2.9970048670909772,1.0067396798652064,1.9917081260364842,1.003870343492985,2.996913580246914,0.0,4.0,1.0,2.052023121387283,3.2639040348964015,1.0790655884995508,0.18041237113402062,3.843444227005871,1.0,2.964810924369748,2.9417040358744395,1.553921568627451,3.323563892145369,1.0,0.0,4.0,1.0,2.996054114994363,2.9819277108433737,1.86,1.99673735725938
cluster_6,2.7519553072625698,3.817899867080195,3.8482335976928623,1.3620821638173004,3.817899867080195,0.9079333986287953,1.8527214514407684,3.8483975513143682,1.001080497028633,4.1226551226551225,0.1085899513776337,3.9996250468691414,2.0,0.0,1.0,2.0,3.0,4.0,5.0,0.06799336650082918,4.1248185776487665,3.990740740740741,1.0011123470522802,2.0,4.0,2.76878612716763,3.2170119956379497,3.8185085354896677,0.9108247422680412,1.8434442270058709,4.0,3.8629201680672267,3.937219730941704,1.6764705882352942,3.324736225087925,4.132765531062124,1.0011904761904762,2.0,4.0,3.988162344983089,3.9036144578313254,2.63,0.13539967373572595
cluster_7,2.296536312849162,0.9556933983163491,2.048305695746215,3.2444501148252107,0.9556933983163491,2.7972575905974533,3.728922091782284,2.0514944184371626,3.079416531604538,1.040885040885041,0.06807131280388978,2.1222347206599177,4.025345622119816,0.06403940886699508,3.0777957860615883,4.025345622119816,1.0546875,2.12392362411082,1.02106149957877,0.0,1.0,2.0,3.0,4.0,5.0,6.0,2.577971646673937,0.9389038634321654,2.768041237113402,3.699934768427919,5.0,1.9674369747899159,2.726457399103139,3.377450980392157,2.7010550996483,1.0195390781563127,3.067857142857143,4.02051282051282,5.0,2.0541149943630215,3.0240963855421685,2.712,0.09135399673735727
cluster_8,2.570167597765363,1.0779796189632256,3.9812545061283346,2.430722122990559,1.0779796189632256,2.2497551420176296,2.625400213447172,3.981274756931941,2.2323068611561316,1.0745550745550745,2.4311183144246353,3.979002624671916,2.6065668202764978,2.4170771756978655,2.235008103727715,2.6065668202764978,1.0636160714285714,3.979408461250468,1.08424599831508,2.406301824212272,1.050314465408805,3.940586419753086,2.161290322580645,2.574095682613769,4.0,4.953757225433526,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,0.16295427901524032,1.0225450901803608,2.1458333333333335,3.0586080586080584,4.0,4.9954904171364145,5.993975903614458,3.396,2.407830342577488
cluster_9,3.098659217877095,1.7713779353123615,4.261715933669791,3.0398060729778003,1.7713779353123615,2.9818805093046032,3.1013874066168623,4.261433201296363,2.4646137223122637,1.2332852332852333,7.904376012965964,4.125609298837645,2.722926267281106,7.811165845648604,2.4678552133981633,2.722926267281106,1.3526785714285714,4.125795582178959,1.2207245155855098,7.930348258706467,1.2331881954523465,4.096836419753086,2.441601779755284,2.7024504084014,4.0,4.329479768786127,0.6870229007633588,1.721024258760108,2.888144329896907,3.5557729941291587,4.0,5.212710084033613,5.524663677130045,5.142156862745098,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
